timestamp_ms,temperature_c,pressure_kpa,pressure_voltage,vibration_raw,vibration_level,current_a,label
418389,52.88,0.65,0.564,2949,2.949,0.290,BAD
419041,52.88,0.47,0.546,3271,3.272,0.345,BAD
419693,52.88,0.64,0.561,3021,3.022,0.340,BAD
420345,52.88,0.30,0.532,2863,2.864,0.350,BAD
420997,52.88,0.39,0.538,3200,3.201,0.382,BAD
421649,52.88,0.44,0.541,2812,2.813,0.371,BAD
422301,52.81,0.54,0.549,2789,2.789,0.319,BAD
422953,52.81,0.51,0.551,3075,3.076,0.296,BAD
423605,52.81,0.42,0.544,3144,3.145,0.329,BAD
424257,52.81,0.38,0.537,3185,3.186,0.384,BAD
424909,52.81,0.42,0.542,3466,3.467,0.319,BAD
425561,52.75,0.34,0.534,3071,3.071,0.365,BAD
426213,52.75,0.57,0.558,3123,3.124,0.363,BAD
426865,52.75,0.42,0.539,3043,3.043,0.373,BAD
427517,52.75,0.47,0.543,2734,2.735,0.294,BAD
428169,52.75,0.41,0.537,3447,3.448,0.289,BAD
428821,52.75,0.55,0.556,3228,3.228,0.326,BAD
429473,52.75,0.52,0.548,2980,2.981,0.368,BAD
430125,52.75,0.52,0.554,3344,3.344,0.354,BAD
430777,52.75,0.32,0.529,2875,2.876,0.294,BAD
431429,52.75,0.30,0.531,3625,3.626,0.330,BAD
432080,52.69,0.43,0.540,3157,3.157,0.375,BAD
432732,52.69,0.37,0.535,3327,3.328,0.359,BAD
433384,52.69,0.48,0.552,3090,3.091,0.369,BAD
434036,52.69,0.39,0.542,3199,3.200,0.343,BAD
434688,52.69,0.44,0.539,3142,3.142,0.342,BAD
435340,52.69,0.54,0.557,3511,3.512,0.323,BAD
435992,52.63,0.46,0.544,2939,2.939,0.353,BAD
436644,52.63,0.37,0.541,3372,3.373,0.311,BAD
437296,52.63,0.59,0.559,3227,3.227,0.359,BAD
437948,52.63,0.32,0.531,3145,3.145,0.302,BAD
438600,52.63,0.52,0.547,3204,3.204,0.342,BAD
439252,52.63,0.57,0.563,2981,2.981,0.372,BAD
439904,52.63,0.30,0.528,2981,2.981,0.370,BAD
440556,52.63,0.37,0.539,2672,2.673,0.375,BAD
441208,52.63,0.49,0.552,3510,3.510,0.346,BAD
441860,52.63,0.44,0.540,2922,2.923,0.363,BAD
442512,52.63,0.51,0.560,2731,2.732,0.325,BAD
443164,52.56,0.43,0.539,3380,3.381,0.310,BAD
443816,52.56,0.45,0.547,3270,3.270,0.299,BAD
444468,52.56,0.60,0.558,2890,2.891,0.361,BAD
445120,52.56,0.49,0.545,3278,3.278,0.356,BAD
445771,52.56,0.30,0.533,3116,3.116,0.280,BAD
446423,52.56,0.43,0.541,3034,3.035,0.331,BAD
447075,52.50,0.44,0.544,3374,3.374,0.324,BAD
447727,52.56,0.44,0.543,2768,2.768,0.332,BAD
448379,52.50,0.53,0.554,11967,11.968,0.365,BAD
449032,52.50,0.66,0.548,3354,3.354,0.306,BAD
449684,52.50,0.55,0.553,2875,2.875,0.346,BAD
450336,52.50,0.60,0.561,3251,3.251,0.307,BAD
450987,52.50,0.47,0.548,835,0.835,0.295,BAD
451639,52.50,0.42,0.540,2708,2.709,0.329,BAD
452291,52.50,0.51,0.549,3458,3.459,0.307,BAD
452943,52.44,0.32,0.535,2729,2.730,0.312,BAD
453595,52.44,0.62,0.557,2729,2.730,0.301,BAD
454247,52.44,0.54,0.550,3097,3.098,0.367,BAD
454899,52.44,0.51,0.552,3076,3.076,0.316,BAD
455551,52.44,0.34,0.535,2676,2.676,0.338,BAD
456203,52.38,0.50,0.550,3073,3.073,0.359,BAD
456855,52.38,0.25,0.529,2926,2.926,0.339,BAD
457506,52.38,0.54,0.558,3392,3.392,0.328,BAD
458158,52.44,0.36,0.537,3120,3.121,0.372,BAD
458810,52.38,0.43,0.538,3321,3.321,0.301,BAD
459462,52.38,0.35,0.538,2956,2.956,0.346,BAD
460114,52.31,0.47,0.546,1899,1.899,0.340,BAD
460766,52.31,0.49,0.552,2810,2.810,0.304,BAD
461418,52.31,0.60,0.554,2777,2.777,0.323,BAD
462070,52.31,0.39,0.542,3282,3.283,0.303,BAD
462722,52.31,0.36,0.526,3303,3.303,0.345,BAD
463374,52.25,0.43,0.543,3447,3.448,0.317,BAD
464026,52.31,0.65,0.568,2891,2.891,0.297,BAD
464678,52.25,0.59,0.558,3834,3.834,0.368,BAD
465329,52.25,0.56,0.559,3009,3.009,0.357,BAD
465981,52.25,0.47,0.546,2814,2.815,0.302,BAD
466633,52.25,0.66,0.567,3156,3.157,0.352,BAD
467285,52.25,0.38,0.541,3365,3.366,0.349,BAD
467937,52.25,0.37,0.540,3411,3.412,0.363,BAD
468589,52.19,0.71,0.567,2840,2.840,0.341,BAD
469241,52.19,0.54,0.553,2811,2.812,0.342,BAD
469893,52.19,0.35,0.539,2855,2.856,0.290,BAD
470545,52.19,0.54,0.548,3387,3.387,0.328,BAD
471197,52.19,0.47,0.551,3360,3.360,0.293,BAD
471849,52.19,0.47,0.552,9830,9.830,0.360,BAD
472501,52.19,0.61,0.557,2724,2.724,0.340,BAD
473153,52.13,0.50,0.554,2959,2.960,0.309,BAD
473805,52.13,0.45,0.556,3221,3.221,0.300,BAD
474457,52.13,0.50,0.551,2160,2.160,0.333,BAD
475109,52.13,0.51,0.549,3234,3.234,0.353,BAD
475761,52.13,0.49,0.553,3089,3.089,0.367,BAD
476413,52.13,0.49,0.551,3254,3.254,0.356,BAD
477065,52.06,0.29,0.533,3340,3.341,0.326,BAD
477717,52.06,0.39,0.536,3377,3.377,0.330,BAD
478369,52.06,0.52,0.549,2778,2.778,0.359,BAD
479021,52.06,0.44,0.540,3046,3.047,0.338,BAD
479673,52.06,0.43,0.543,2998,2.999,0.295,BAD
480325,52.06,0.32,0.536,3097,3.098,0.289,BAD
480977,52.06,0.37,0.536,3300,3.301,0.365,BAD
481629,52.00,0.51,0.547,3404,3.405,0.303,BAD
482281,52.00,0.38,0.533,2939,2.940,0.316,BAD
482933,52.00,0.47,0.551,3280,3.281,0.341,BAD
483585,52.00,0.52,0.554,2622,2.623,0.299,BAD
484237,52.00,0.43,0.549,2768,2.769,0.331,BAD
484889,52.00,0.61,0.561,2943,2.943,0.296,BAD
485541,51.94,0.51,0.554,3392,3.393,0.339,BAD
486193,51.94,0.29,0.532,2950,2.951,0.307,BAD
486845,51.94,0.47,0.549,3046,3.046,0.336,BAD
487496,51.94,0.55,0.558,13517,13.517,0.286,BAD
488149,51.94,0.41,0.540,3229,3.229,0.281,BAD
488800,51.94,0.39,0.537,3054,3.055,0.356,BAD
489452,51.88,0.64,0.568,3582,3.582,0.309,BAD
490104,51.88,0.39,0.536,3359,3.359,0.296,BAD
490756,51.88,0.42,0.541,3360,3.361,0.327,BAD
491408,51.88,0.39,0.541,3177,3.178,0.332,BAD
492060,51.88,0.60,0.556,3442,3.443,0.337,BAD
492712,51.88,0.40,0.538,3232,3.232,0.361,BAD
493364,51.88,0.57,0.559,3357,3.357,0.373,BAD
494016,51.88,0.43,0.542,3384,3.385,0.376,BAD
494668,51.81,0.48,0.548,3461,3.462,0.373,BAD
495320,51.81,0.51,0.546,3591,3.591,0.322,BAD
495972,51.81,0.48,0.550,3410,3.411,0.317,BAD
496624,51.81,0.53,0.551,3284,3.285,0.296,BAD
497276,51.75,0.51,0.548,3140,3.141,0.301,BAD
497928,51.75,0.58,0.560,2964,2.964,0.302,BAD
498580,51.75,0.58,0.560,12024,12.025,0.299,BAD
499233,51.75,0.51,0.556,2912,2.912,0.301,BAD
499885,51.75,0.55,0.555,2831,2.831,0.373,BAD
500537,51.75,0.43,0.547,2664,2.664,0.359,BAD
501189,51.75,0.41,0.544,2995,2.996,0.286,BAD
501841,51.69,0.56,0.555,2999,3.000,0.282,BAD
502493,51.69,0.45,0.543,12045,12.046,0.368,BAD
503145,51.69,0.53,0.551,3300,3.300,0.364,BAD
503797,51.69,0.44,0.541,2942,2.943,0.307,BAD
