timestamp_ms,temperature_c,pressure_kpa,pressure_voltage,vibration_raw,vibration_level,current_a,label
151134,29.50,1.02,0.601,3477,3.478,0.380,GOOD
151791,29.50,0.73,0.577,2867,2.868,0.380,GOOD
152447,29.50,1.07,0.609,2941,2.942,0.402,GOOD
153103,29.44,0.78,0.578,2941,2.942,0.000,GOOD
153759,29.44,0.92,0.590,2941,2.942,0.344,GOOD
154415,29.50,0.87,0.587,3094,3.095,0.381,GOOD
155071,29.50,0.97,0.597,3226,3.227,0.326,GOOD
155727,29.50,0.91,0.591,13106,13.107,0.371,GOOD
156384,29.50,1.00,0.601,9806,9.807,0.387,GOOD
157040,29.44,0.87,0.590,9806,9.807,0.368,GOOD
157696,29.44,1.08,0.608,3100,3.101,0.373,GOOD
158352,29.44,1.22,0.623,3298,3.298,0.355,GOOD
159009,29.50,0.85,0.581,14707,14.707,0.361,GOOD
159665,29.50,0.74,0.580,2754,2.755,0.401,GOOD
160322,29.50,0.91,0.597,592,0.593,0.307,GOOD
160978,29.44,1.00,0.598,2838,2.838,0.388,GOOD
161634,29.50,0.94,0.602,3075,3.075,0.336,GOOD
162291,29.50,0.84,0.588,2977,2.978,0.325,GOOD
162947,29.50,0.92,0.588,3258,3.258,0.400,GOOD
163604,29.50,0.84,0.585,3253,3.253,0.394,GOOD
164260,29.50,1.05,0.609,16498,16.499,0.349,GOOD
164916,29.50,1.07,0.601,3320,3.320,0.346,GOOD
165573,29.50,1.10,0.610,2760,2.761,0.403,GOOD
166229,29.44,0.99,0.601,3355,3.356,0.354,GOOD
166885,29.50,0.83,0.586,2912,2.912,0.337,GOOD
167542,29.50,1.09,0.610,8029,8.030,0.314,GOOD
168198,29.44,1.29,0.630,3075,3.076,0.394,GOOD
168854,29.50,0.92,0.590,3474,3.475,0.352,GOOD
169511,29.50,0.96,0.598,3068,3.069,0.308,GOOD
170167,29.50,0.98,0.594,15313,15.314,0.390,GOOD
170824,29.44,1.04,0.602,3315,3.315,0.392,GOOD
171480,29.50,1.02,0.598,2980,2.980,0.378,GOOD
172136,29.50,0.94,0.595,3026,3.027,0.338,GOOD
172792,29.50,1.05,0.606,3238,3.238,0.393,GOOD
173449,29.50,0.96,0.594,3168,3.168,0.400,GOOD
174105,29.50,1.12,0.622,3161,3.161,0.311,GOOD
174762,29.50,0.96,0.598,3015,3.016,0.350,GOOD
175418,29.44,0.93,0.588,3139,3.139,0.386,GOOD
176074,29.50,1.07,0.610,3335,3.335,0.368,GOOD
176730,29.44,0.89,0.585,3257,3.257,0.400,GOOD
177387,29.50,0.96,0.602,3167,3.167,0.344,GOOD
178043,29.50,0.94,0.592,3212,3.212,0.343,GOOD
178699,29.50,0.95,0.605,3045,3.046,0.393,GOOD
179355,29.50,0.96,0.592,3045,3.046,0.000,GOOD
180011,29.50,0.91,0.593,3290,3.291,0.344,GOOD
180668,29.50,1.04,0.602,3026,3.027,0.369,GOOD
181324,29.50,1.03,0.601,2828,2.828,0.395,GOOD
181980,29.50,0.88,0.588,3144,3.145,0.360,GOOD
182637,29.44,0.80,0.576,2879,2.880,0.396,GOOD
183293,29.50,0.96,0.595,2794,2.794,0.331,GOOD
183949,29.50,0.97,0.600,3303,3.304,0.336,GOOD
184605,29.50,1.22,0.612,2872,2.873,0.310,GOOD
185261,29.44,0.81,0.577,18425,18.425,0.350,GOOD
185918,29.44,1.00,0.602,3028,3.028,0.365,GOOD
186574,29.50,1.04,0.606,3081,3.081,0.409,GOOD
187230,29.50,0.97,0.599,3084,3.084,0.395,GOOD
187887,29.50,0.77,0.583,3235,3.236,0.368,GOOD
188543,29.50,0.79,0.576,3219,3.219,0.324,GOOD
189199,29.50,0.99,0.595,2828,2.828,0.322,GOOD
189855,29.50,1.26,0.631,3416,3.417,0.338,GOOD
190512,29.44,0.89,0.596,2721,2.722,0.378,GOOD
191168,29.50,1.02,0.603,3104,3.105,0.376,GOOD
191824,29.44,0.98,0.595,3150,3.151,0.345,GOOD
192480,29.50,1.01,0.601,12728,12.728,0.331,GOOD
193137,29.44,0.95,0.598,12728,12.728,0.311,GOOD
193793,29.50,1.05,0.605,3399,3.399,0.363,GOOD
194449,29.50,0.95,0.596,14229,14.229,0.358,GOOD
195106,29.50,0.96,0.598,3202,3.203,0.315,GOOD
195762,29.50,0.74,0.578,2938,2.939,0.319,GOOD
