timestamp_ms,temperature_c,pressure_kpa,pressure_voltage,vibration_raw,vibration_level,current_a,label
55921,30.19,1.76,0.672,0,0.0,0.432,GOOD
56576,30.19,1.46,0.653,0,0.0,0.399,GOOD
57232,30.19,1.3,0.629,0,0.0,0.387,GOOD
57888,30.19,1.42,0.627,0,0.0,0.344,GOOD
58544,30.19,1.16,0.617,0,0.0,0.362,GOOD
59200,30.19,1.07,0.607,0,0.0,0.348,GOOD
59855,30.12,1.32,0.622,0,0.0,0.356,GOOD
60511,30.12,1.34,0.632,0,0.0,0.414,GOOD
61167,30.19,1.3,0.636,0,0.0,0.345,GOOD
61823,30.12,1.01,0.612,0,0.0,0.42,GOOD
62479,30.12,1.07,0.629,0,0.0,0.33,GOOD
63134,30.12,1.06,0.606,0,0.0,0.412,GOOD
50050,30.06,5.92,1.096,0,0.0,0.467,GOOD
50706,30.06,1.77,0.673,0,0.0,0.401,GOOD
51362,30.06,1.62,0.667,0,0.0,0.413,GOOD
52018,30.06,1.83,0.677,0,0.0,0.417,GOOD
52673,30.0,1.69,0.668,0,0.0,0.341,GOOD
53329,30.0,1.77,0.669,0,0.0,0.4,GOOD
53985,30.06,1.69,0.667,0,0.0,0.341,GOOD
54641,30.06,1.76,0.671,0,0.0,0.407,GOOD
55297,30.0,1.68,0.674,0,0.0,0.353,GOOD
55952,30.0,1.57,0.651,0,0.0,0.414,GOOD
56608,30.0,1.51,0.646,0,0.0,0.328,GOOD
57264,30.0,1.15,0.622,0,0.0,0.356,GOOD
57920,30.0,1.31,0.64,0,0.0,0.377,GOOD
58576,30.0,1.28,0.626,0,0.0,0.322,GOOD
59232,29.94,1.02,0.604,0,0.0,0.34,GOOD
59887,30.0,1.37,0.628,0,0.0,0.418,GOOD
60543,29.94,1.11,0.621,0,0.0,0.388,GOOD
61199,29.94,1.16,0.613,0,0.0,0.354,GOOD
61855,29.94,1.23,0.626,0,0.0,0.384,GOOD
1329190,30.0,1.05,0.603,0,0.0,0.416,GOOD
1329846,30.0,1.12,0.61,0,0.0,0.425,GOOD
1330502,29.94,1.22,0.623,0,0.0,0.398,GOOD
1331158,30.0,1.4,0.641,0,0.0,0.353,GOOD
1331814,29.94,1.08,0.612,0,0.0,0.36,GOOD
1332470,29.94,1.09,0.614,0,0.0,0.349,GOOD
87447,29.94,1.59,0.659,0,0.0,0.559,GOOD
88103,29.94,1.24,0.622,0,0.0,0.429,GOOD
88759,30.0,1.29,0.625,0,0.0,0.426,GOOD
89415,29.94,1.27,0.625,0,0.0,0.405,GOOD
90070,29.94,1.4,0.639,0,0.0,0.362,GOOD
90726,29.94,1.27,0.614,0,0.0,0.339,GOOD
91382,29.94,1.42,0.63,0,0.0,0.364,GOOD
92038,29.94,1.08,0.61,0,0.0,0.406,GOOD
92694,29.94,1.11,0.605,0,0.0,0.363,GOOD
93350,29.94,1.1,0.61,0,0.0,0.348,GOOD
94005,29.94,1.4,0.639,0,0.0,0.343,GOOD
94661,29.94,1.11,0.612,0,0.0,0.346,GOOD
95179,29.94,1.14,0.606,0,0.0,0.306,GOOD
61903,29.81,1.99,0.699,24,0.025,0.34,GOOD
62559,29.81,1.24,0.626,194,0.194,0.321,GOOD
63216,29.75,1.29,0.637,13,0.013,0.378,GOOD
63872,29.81,1.35,0.632,123,0.124,0.339,GOOD
64528,29.75,1.09,0.613,512,0.513,0.384,GOOD
65185,29.81,1.11,0.616,195,0.277,0.336,GOOD
65841,29.81,1.14,0.623,562,0.364,0.337,GOOD
66497,29.75,1.46,0.654,13606,0.151,0.321,GOOD
67154,29.75,1.16,0.609,333,0.333,0.423,GOOD
67810,29.81,1.29,0.656,70,0.07,0.358,GOOD
68467,29.75,1.24,0.624,228,0.184,0.384,GOOD
69123,29.75,1.28,0.615,161,0.162,0.347,GOOD
69780,29.75,1.24,0.626,274,0.274,0.393,GOOD
70436,29.75,1.11,0.61,156,0.156,0.417,GOOD
71092,29.75,1.28,0.635,283,0.284,0.393,GOOD
71749,29.75,1.08,0.611,266,0.266,0.406,GOOD
72405,29.75,1.13,0.614,296,0.297,0.382,GOOD
73062,29.75,1.39,0.628,34,0.035,0.376,GOOD
73718,29.69,1.38,0.637,285,0.286,0.402,GOOD
74374,29.75,1.22,0.616,99,8.532,0.408,GOOD
75031,29.75,1.25,0.623,24,0.025,0.417,GOOD
75687,29.69,1.14,0.622,559,0.286,0.419,GOOD
76343,29.69,1.21,0.633,231,0.232,0.333,GOOD
77000,29.69,1.05,0.606,366,0.366,0.397,GOOD
77656,29.75,1.13,0.599,10098,0.078,0.371,GOOD
78313,29.69,1.16,0.617,299,0.3,0.346,GOOD
78969,29.69,1.11,0.637,2733,0.375,0.395,GOOD
79626,29.69,1.14,0.622,10,0.011,0.326,GOOD
80282,29.69,1.28,0.625,12809,0.324,0.408,GOOD
80939,29.69,0.96,0.601,68,0.104,0.348,GOOD
81595,29.69,1.08,0.617,480,0.48,0.356,GOOD
82251,29.69,1.15,0.616,130,0.13,0.339,GOOD
82908,29.69,1.29,0.628,223,0.223,0.414,GOOD
83564,29.69,1.06,0.602,339,0.225,0.359,GOOD
84220,29.69,0.92,0.598,202,8.121,0.354,GOOD
84877,29.69,1.14,0.614,190,0.127,0.377,GOOD
85533,29.69,1.24,0.613,206,0.207,0.395,GOOD
86189,29.69,1.07,0.627,381,9.878,0.398,GOOD
86846,29.69,1.12,0.603,266,0.267,0.422,GOOD
87502,29.69,1.29,0.626,142,0.143,0.368,GOOD
88159,29.69,1.05,0.6,332,9.038,0.41,GOOD
88815,29.69,1.27,0.624,150,0.15,0.33,GOOD
89471,29.69,1.24,0.606,249,0.181,0.412,GOOD
90128,29.69,1.22,0.622,636,0.636,0.416,GOOD
